dendrite_type,layer,threshold_t,threshold_v,threshold_i,peak_t,peak_v,peak_i,trough_t,trough_v,trough_i,upstroke,upstroke_t,upstroke_v,downstroke,downstroke_t,downstroke_v,fast_trough_t,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
spiny,L3,17.57045743589744,-38.82932662963867,151.73077392578125,17.571049743589743,38.605770111083984,151.50640869140625,17.730211282051282,-54.02564239501953,114.31089782714844,260.6943960987827,17.570798461538462,4.346153736114502,-101.94820973329671,17.57139128205128,14.464743614196777,17.57298871794872,-50.43589782714844,149.47116088867188,0.0008615384615386399,2.5583914268993446,0.0278459596639436,73.6783333333333,0.1671875,1.11848,4.10585333333333,1.02517333333333,-53.8750038146973,-58.8333371480306,-56.6354179382324,232.352528,0.0417000000000001,1.11668,4.10410666666667,1.02354,42.1562538146973,39.2187538146973,41.0208358764648,159.531131386757,0.128440782427788,1.125671168,21.1810256736186,90.0,77.0833333333333,590.0,1.11614,4.10354,1.02306666666667,-40.6250038146973,-45.4166679382324,-49.9166704813639,1.11856,4.13498666666667,1.37525333333333,-53.9687538146973,-59.5104204813639,-71.1979192097982,2.89546090494073,2.55987565805174,3.09978714203629,-88.8437576293945,-70.56103515625,525011903_53
spiny,L4,18.227785333333333,-37.49027633666992,117.57777404785156,18.22829288888889,39.82013702392578,117.06944274902344,18.286045333333334,-50.684722900390625,92.03055572509766,305.56508730482625,18.22805111111111,1.3847222328186035,-94.01460697668963,18.228623555555558,17.76944351196289,18.230268444444448,-47.4506950378418,113.98332977294922,0.0008493333333334303,3.2628467333315467,0.0547842349457087,77.4,0.229195011337868,1.22268,5.67698666666667,1.024908,-48.8125,-51.1145871480306,-51.8187507629395,129.869152,0.07006,1.22068,5.67502666666667,1.023444,39.40625,39.6458346048991,36.0375,127.232253551483,0.0916207209229469,0.9666192,18.7427130300443,70.0,116.374997456868,750.0,1.22018,5.67452666666667,1.023036,-37.34375,-40.6458358764648,-45.7375030517578,1.3653,5.69454666666667,1.3899,-52.1250038146973,-51.5208358764648,-72.9000015258789,3.1211816215221,3.46452807634467,3.0546809499194,-87.53125,-72.6281051635742,537256313_47
aspiny,L4,16.752796470588237,-41.391544342041016,464.3014831542969,16.753098823529417,25.316177368164062,464.25,16.979417647058824,-62.961395263671875,413.8970642089844,436.84275101379035,16.752975294117647,-10.073529243469238,-282.441041933826,16.753245882352942,-3.3235294818878174,16.753792941176474,-61.380516052246094,463.48529052734375,0.00036352941176442293,1.5464761144447672,0.196551724137939,5.79999999999992,0.0148936164573392,1.08412,14.6673066666667,1.023968,-63.5625038146973,-63.1354179382324,-62.4250022888184,126.09972,0.0508600000000001,1.0835,14.6665866666667,1.023364,29.0000019073486,23.7812512715658,28.9375011444092,65.7812505960464,0.067695252597332,3.8082304,7.17732109498307,210.0,341.166666666667,800.0,1.08322,14.66628,1.0231,-39.1250038146973,-35.6875012715658,-47.7562530517578,1.08414,14.66734,1.336668,-63.5937538146973,-63.2395833333333,-75.5187530517578,1.4528902963157,1.44175403652863,1.55608686955127,-82.53125,-74.2602691650391,596020931_66
aspiny,L5,17.0565085106383,-37.25798034667969,125.69149017333984,17.056947234042557,41.14361572265625,124.90957641601562,17.15737404255319,-57.18949508666992,107.23670196533203,346.88536484116554,17.056729787234044,-0.6868351101875305,-136.56614320056613,17.057291063829787,4.548537254333496,17.05829106382979,-55.8198127746582,121.97074127197266,0.0006885106382976963,2.5417958157526384,0.0053269471451794,72.9953846153846,0.179186602289983,1.33828,3.22927,1.02464,-56.9062538146973,-58.1875038146973,-58.9843788146973,208.22856,0.0368000000000002,1.33698,3.228,1.02357,42.1562538146973,42.0312538146973,39.578125,179.843753576279,0.157440662384033,1.533878272,18.5390718014029,70.0,55.1875,469.999969482422,1.33654,3.22758,1.02319,-37.34375,-40.2500019073486,-41.875,1.3522,3.245,1.053,-59.1562538146973,-61.4375019073486,-67.6250038146973,2.52061630228839,2.586455470023,2.21960437137737,-81.40625,-64.4421920776367,576095991_64
spiny,L3,17.941075737704917,-39.99129104614258,968.1434326171875,17.941664262295088,47.932376861572266,969.3770751953125,17.984164918032793,-51.488216400146484,764.1536865234375,297.41372366241535,17.94141180327869,9.454405784606934,-73.61909407147182,17.94239278688525,7.367827892303467,17.944150491803278,-48.096824645996094,943.807373046875,0.001124590163934368,4.098434751979542,,,0.0540354330708661,1.15088,22.06908,1.02560666666667,-50.34375,-54.7291704813639,-53.2708371480306,39.90148,0.0703400000000001,1.14878,22.06694,1.02363333333333,51.4687538146973,50.78125,50.5833346048991,37.4998860061169,0.103046096861362,1.215986048,12.999426938348,560.0,526.124989827474,2250.0,1.14824,22.0663666666667,1.0231,-41.5937538146973,-44.25,-51.6979179382324,1.24182,22.06934,1.11263333333333,-54.3437538146973,-54.9687512715658,-75.1562576293945,3.67543007940544,3.6658904213871,3.58632124262394,-78.5,-74.4962615966797,545608578_95
spiny,L2,17.608446500000003,-32.51953125,373.6656188964844,17.609023999999998,42.010154724121094,372.5625,17.967495500000002,-47.76250076293945,313.421875,268.9747756017783,17.608732,1.763281226158142,-85.37472146223756,17.609625,2.1796875,17.611265500000002,-45.158592224121094,362.3031311035156,0.0009654999999999081,3.1717987808764065,0.306257294021868,168.45,0.0726303305565609,1.18894,10.17322,1.0254,-46.90625,-52.1250012715658,-52.40625,54.027152,0.11042,1.1869,10.1711,1.02348,37.8437538146973,43.4270846048991,40.125,78.1251937150955,0.132676616311073,2.242978304,33.7427066555222,230.0,228.749994913737,2280.0,1.18632,10.1705533333333,1.02298,-35.1875,-37.4687538146973,-30.3437519073486,1.1892,10.1734333333333,1.6708,-47.0625,-52.3020846048991,-72.34375,2.80618139261634,3.00719597157213,2.59241624622432,-82.5937576293945,-72.4901351928711,528706755_72
spiny,L3,18.45238727272727,-36.803977966308594,460.5454406738281,18.453114545454547,44.80965805053711,457.0795593261719,18.864432727272728,-58.585227966308594,263.8409118652344,269.6277581927272,18.452887272727278,12.170454978942871,-77.84852670047407,18.453390909090913,29.107954025268555,18.456249090909093,-50.02840805053711,427.7840881347656,0.0010509090909087088,3.4942542860987094,,,0.0080321276546557,1.2362,19.9056,1.02586,-51.0,-52.5416692097982,-52.1562528610229,32.988012,0.1263,1.23356,19.9026,1.023855,46.8750038146973,43.8437512715658,47.1328134536743,70.000022649765,0.107937686145306,1.33338752,35.0195767843793,230.0,472.083343505859,3070.0,1.2329,19.90184,1.023135,-38.9687538146973,-34.5000025431315,-48.1640634536743,1.3342,19.93472,1.268865,-57.7812538146973,-54.6875025431315,-74.7890682220459,3.52250043400882,3.07974755411306,3.44238780751771,-82.6875076293945,-74.5511016845703,530055374_115
aspiny,L3,18.75715878504673,-41.65347671508789,505.3563232421875,18.757434953271027,26.27029800415039,506.64544677734375,18.762294205607475,-64.0700912475586,503.5210266113281,492.95281278799445,18.757331775700937,-9.337908744812012,-369.61738701063064,18.75754299065421,-1.4512265920639038,18.75799626168224,-63.85879135131836,508.00408935546875,0.00029700934579451215,1.3338278434373492,,24.5600000000001,0.462723214285714,1.04722,13.9836666666667,1.02394,-62.0312538146973,-62.6458358764648,-63.7062515258789,139.217248,0.01562,1.04662,13.983,1.023356,25.3125019073486,25.0208346048991,29.6125015258789,75.9375020861626,0.0698191076517105,3.384705792,5.72594714895101,290.0,324.041666666667,760.0,1.04636,13.9827,1.023084,-36.3437538146973,-34.8854179382324,-45.8875038146973,1.04728,13.9837133333333,1.42702,-62.125,-62.7187512715658,-77.04375,1.31526664906747,1.30743563551053,1.37568577490333,-85.2500076293945,-76.1952514648438,531520637_57
spiny,L3,17.874671304347828,-38.760868072509766,315.0326232910156,17.875191304347826,38.70380401611328,314.75,18.01516521739131,-55.56929397583008,257.9510803222656,306.12013698503006,17.874958260869565,1.41576087474823,-98.47117963112275,17.8757347826087,-5.1032609939575195,17.877108695652176,-53.40489196777344,308.3369445800781,0.0008486956521739122,3.113906457505244,,,0.0349140909047975,1.16456,8.73022666666667,1.02509,-53.4375,-54.7395871480306,-55.0625038146973,74.921488,0.08012,1.16248,8.7279,1.023525,34.625,39.0937512715658,36.7656259536743,105.312496423721,0.111412040889263,1.200349312,32.1982254238938,150.0,192.708333333333,1700.0,1.16192,8.72732,1.02305,-37.5,-37.9270846048991,-43.4062519073486,1.21488,8.75708,1.511745,-55.4062538146973,-56.6562538146973,-69.6875019073486,2.75802285222808,3.03266507191255,2.78091615351089,-81.5312576293945,-69.2716369628906,530097064_70
spiny,L3,18.212463392857142,-39.6640625,370.3125,18.213050178571432,37.4921875,368.7901916503906,18.30139375,-54.95424270629883,297.5848083496094,250.9247230617596,18.212772142857144,0.9654017686843872,-83.16311297924362,18.213820535714284,-13.685267448425293,18.215249821428575,-52.85491180419922,355.5848083496094,0.0010139285714281243,3.022443487237706,0.891341944128508,320.915,0.0675271655514925,1.157415,11.4407983333333,1.025342,-54.0,-55.9791679382324,-55.3187515258789,61.571352,0.076095,1.15542,11.4385333333333,1.023542,42.4375,44.6354166666667,40.6625022888184,75.312539935112,0.158498719334602,2.207250432,24.0288583754547,210.0,260.458338419596,1679.99987792969,1.1549,11.438015,1.023052,-40.9687538146973,-41.3958358764648,-47.7250030517578,1.27728,11.4410466666667,1.261958,-54.5625,-56.125,-72.1312515258789,3.37711385047564,3.53513843301101,3.09589476829431,-79.71875,-71.3139724731445,488418919_76
