dendrite_type,layer,stimulus_to_peak_t,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
spiny,L3,0.00356,-51.000003814697266,41.500003814697266,-71.15625762939453,370.76141348847204,-2.593750238418579,-122.41094976226064,-9.406250953674316,-57.5,0.0007800000000000029,3.0288255602014615,525011903_11
spiny,L4,0.003,-46.96875,33.156253814697266,-73.00000762939453,377.35072661546803,-4.875,-117.77026937386724,-11.625,-51.781253814697266,0.0006800000000000139,3.2041255286387305,537256313_14
aspiny,L4,0.00332,-48.312503814697266,28.75,-75.65625,524.6075441512124,-17.4375,-338.1746161478517,-3.0,-62.656253814697266,0.00031999999999987594,1.5512919039489685,596020931_14
aspiny,L5,0.00342,-43.15625,38.656253814697266,-68.81250762939453,382.49462786122655,-0.5625000596046448,-171.91536989753735,-16.15625,-59.156253814697266,0.0005800000000000249,2.224900706022945,576095991_12
spiny,L3,0.0036,-50.781253814697266,50.09375,-74.59375,361.74985048744156,8.343750953674316,-100.6309789565798,-17.21875,-53.75,0.0009200000000000319,3.594815972559794,545608578_31
spiny,L2,0.00308,-73.43750762939453,-29.875,-72.625,71.54435091246344,-71.1875,-61.24766938630784,-34.0625,-58.031253814697266,0.0018599999999999728,1.1681154830759564,528706755_30
spiny,L3,0.00368,-48.90625,47.906253814697266,-74.59375,323.5577112290968,7.906250476837158,-94.26332395075924,-15.500000953674316,-53.218753814697266,0.0009200000000000319,3.432487818890358,530055374_34
aspiny,L3,0.00304,-46.34375,27.15625,-77.03125762939453,537.181973781264,-14.531250953674316,-376.1855653573428,-1.8125001192092896,-64.09375,0.00029999999999996696,1.4279707230951004,531520637_14
spiny,L3,0.00356,-44.03125,36.343753814697266,-69.78125,322.1203710742911,-3.437500238418579,-115.74709631828397,-12.78125,-55.812503814697266,0.0007600000000000939,2.7829671872589983,530097064_23
spiny,L3,0.00333,-49.718753814697266,41.9375,-72.15625,373.8759238595395,3.218750238418579,-104.05888177010537,-19.34375,-55.968753814697266,0.0008349999999999191,3.5929265959779775,488418919_22
spiny,L2,0.00362,-43.9375,43.875,-72.125,288.3603642386228,8.65625,-107.06447596054892,-15.281250953674316,-52.937503814697266,0.0008200000000000429,2.6933337285924583,616647103_23
spiny,L5,0.00288,-40.6875,41.15625,-61.531253814697266,293.07768623925483,3.90625,-89.50526332478016,17.625,-52.09375,0.0008799999999999919,3.2744184571111608,567776248_12
aspiny,L1,0.00276,-47.031253814697266,43.3125,-62.437503814697266,448.30955926551616,-1.4375001192092896,-154.78267981894288,22.187501907348633,-55.062503814697266,0.0005999999999999339,2.896380653119112,596049209_9
aspiny,L3,0.00318,-49.406253814697266,29.687501907348633,-69.71875762939453,547.934335380868,-8.53125,-342.9582234632528,-2.031250238418579,-66.09375,0.000320000000000098,1.5976707887267732,529807751_14
spiny,L3,0.00308,-65.71875762939453,-28.906251907348633,-66.21875762939453,54.55657440387042,-64.46875762939453,-47.029928345086155,-30.843751907348633,-53.75,0.0022199999999998887,1.1600394966276975,539563223_24
spiny,L4,0.00326,-46.156253814697266,44.781253814697266,-69.65625,472.93332202792914,7.125000476837158,-135.8438898363449,29.406251907348633,-51.9375,0.0006200000000000649,3.48144714199281,489308885_10
aspiny,L3,0.00358,-41.750003814697266,42.1875,-73.00000762939453,346.4181474240819,3.312500238418579,-113.01730136365647,21.281251907348633,-54.875,0.0008200000000000429,3.0651780147307717,601927090_12
spiny,L3,0.00358,-53.968753814697266,34.875,-76.53125,341.1126990749547,-1.9062501192092896,-129.51705373053963,-17.250001907348633,-52.8125,0.0006999999999999229,2.633728063214286,517673596_27
spiny,L5,0.00368,-43.281253814697266,40.968753814697266,-65.0625,332.90402780178187,3.437500238418579,-103.6619944325242,25.71875,-52.031253814697266,0.0007800000000000029,3.2114376114813825,528042185_15
aspiny,L4,0.00342,-48.03125,35.875,-70.0,497.9774227388815,-6.28125,-238.87003974822517,12.250000953674316,-68.06250762939453,0.00045999999999990493,2.084721144869243,571427524_10
spiny,L5,0.00348,-42.6875,46.03125,-64.21875,303.2666070099549,9.1875,-85.55140939277305,29.90625,-54.781253814697266,0.001060000000000061,3.5448464164702975,601950719_15
spiny,L6,0.00362,-48.937503814697266,42.812503814697266,-68.59375762939453,390.4548504687137,2.1875,-118.00602344913392,23.25,-59.90625,0.0007600000000000939,3.3087705106597194,529988200_11
spiny,L5,0.00334,-45.0625,38.406253814697266,-68.78125762939453,329.24906617301053,-9.25,-101.63831451639255,-3.531250238418579,-54.0,0.0008799999999999919,3.2394187933912284,576132767_10
aspiny,L3,0.00286,-45.0,23.625001907348633,-76.59375762939453,486.2789732034333,-17.968751907348633,-343.8462206952169,-6.3125,-63.0,0.00029999999999996696,1.4142338753069148,571709783_14
spiny,L5,0.00322,-41.281253814697266,38.250003814697266,-69.25,314.97197349003795,-5.000000476837158,-108.26464547985829,-11.156250953674316,-51.000003814697266,0.0008000000000001339,2.9092782052164554,587719226_16
spiny,L5,0.00346,-47.281253814697266,47.78125,-69.0625,354.1881116810329,13.4375,-98.13563187007516,35.1875,-52.40625,0.0008799999999999919,3.609169319355417,562381326_19
spiny,L3,0.00348,-44.5,42.4375,-67.65625762939453,281.3295040037225,7.0,-86.10124258407835,20.843751907348633,-51.781253814697266,0.0009799999999999809,3.2674267590157324,528612139_14
spiny,L3,0.00334,-43.71875,44.562503814697266,-71.0,340.9645109792093,7.093750476837158,-96.11336847914033,30.75,-51.031253814697266,0.0008399999999999519,3.5475243077471528,613333217_13
spiny,L2,0.0035,-47.093753814697266,45.812503814697266,-72.78125,467.91979868838655,-2.0,-114.85396595022182,12.71875,-57.968753814697266,0.0008200000000000429,4.074041282050155,508421103_12
spiny,L4,0.00314,-46.718753814697266,45.812503814697266,-69.96875,433.0928327532336,2.250000238418579,-117.07896648482408,29.093751907348633,-54.687503814697266,0.0007199999999998319,3.699151485159135,569823971_14
spiny,L3,0.0035,-48.218753814697266,50.843753814697266,-76.375,382.20657706524906,8.125000953674316,-91.45834242518252,-18.0625,-54.500003814697266,0.001040000000000152,4.179023661815357,571508482_21
aspiny,L3,0.00226,-49.468753814697266,29.812501907348633,-72.03125,496.02012586855733,-8.96875,-296.89402723488604,0.5,-65.84375,0.00035999999999991594,1.6706975565935982,561432315_11
spiny,L3,0.00326,-46.625003814697266,51.250003814697266,-67.78125762939453,433.4080992125926,13.65625,-98.30482315497105,36.500003814697266,-52.5625,0.0008999999999999009,4.408818258381417,527891102_14
aspiny,L3,0.00334,-47.093753814697266,30.03125,-68.81250762939453,333.53256279925387,-0.9687500596046448,-163.0744219461365,3.218750238418579,-66.6875,0.000600000000000156,2.045278216036968,539640410_9
aspiny,L3,0.00348,-44.5,34.15625,-70.15625762939453,440.1072943919888,-4.718750476837158,-263.94965623104343,6.0,-65.65625,0.00043999999999999595,1.6673910497793907,541536216_13
spiny,L3,0.0034,-44.65625,36.125,-69.875,329.83306170537287,-5.406250476837158,-85.19377134753906,-14.250000953674316,-53.500003814697266,0.0009400000000001629,3.871563102422752,614230805_19
spiny,L3,0.00346,-55.156253814697266,35.062503814697266,-73.875,384.51047373285155,-6.093750476837158,-126.85887488722136,-18.5,-56.750003814697266,0.0007199999999998319,3.031009648120281,488386431_20
spiny,L3,0.003385,-46.156253814697266,48.0,-68.18750762939453,323.7396868039497,10.53125,-107.51242970437593,-11.1875,-51.718753814697266,0.0008799999999999919,3.0111838016695196,488400701_11
spiny,L6,0.00348,-45.15625,47.718753814697266,-64.78125762939453,446.55327255503033,-1.8125001192092896,-93.8151795694224,36.812503814697266,-57.250003814697266,0.0009200000000000319,4.759925574992743,614635228_13
aspiny,L3,0.0025,-46.59375,14.687500953674316,-66.78125,269.8310842434766,-10.375000953674316,-155.02739266894585,-6.156250476837158,-64.03125,0.000560000000000116,1.7405381048992352,643572206_8
spiny,L3,0.00356,-47.562503814697266,47.093753814697266,-73.21875762939453,315.6514678130871,14.500000953674316,-100.3704713217213,-16.15625,-51.500003814697266,0.0008600000000000829,3.1448638594245257,529908238_23
spiny,L3,0.00352,-51.21875,47.46875,-76.65625,415.51079240656645,6.25,-120.05127824651805,16.250001907348633,-52.937503814697266,0.0007599999999998719,3.461110939221656,531526662_36
spiny,L3,0.0032,-44.28125,44.125,-65.15625,440.5963374536981,-3.187500238418579,-123.52719201383465,26.468751907348633,-60.500003814697266,0.0006999999999999229,3.566796348810007,530062268_11
spiny,L3,0.00338,-50.5,52.5625,-72.03125,428.8585866044653,6.28125,-101.55724524161404,38.000003814697266,-51.9375,0.0008799999999999919,4.222826107425139,537307503_26
spiny,L3,0.00346,-47.6875,40.000003814697266,-79.3125,381.52286069119015,1.15625,-126.18302320311379,-16.15625,-58.562503814697266,0.0007399999999999629,3.0235672835089864,508285405_31
