transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,threshold_i,peak_v,peak_i,trough_v,trough_i,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,f_i_curve_slope,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
Sst+,GABAergic,positive,aspiny,L5,-33.49095916748047,536.0259399414062,28.835494995117188,537.7398071289062,-55.97896957397461,531.01416015625,299.76481767644367,-0.5355738997459412,-217.13392534903664,-1.393081784248352,-55.65113830566406,537.1422729492188,0.00048150943396225694,1.3727391462606913,0.0203836930455635,-59.1875,-57.4375,-62.6000038146973,143.634288,0.0271400000000002,35.3750038146973,31.34375,34.6625007629395,119.977675378323,0.0540332049131393,1.317484032,11.2910900095904,270.0,343.125,800.0,-36.28125,-33.8125,-43.5000022888184,-59.2812538146973,-57.4687538146973,-75.7562515258789,1.56402714119508,1.30434869895729,1.67955043379558,-87.9062576293945,-74.9269866943359,565871768_62
Pvalb+,GABAergic,positive,aspiny,L4,-38.69411849975586,463.6817626953125,17.997390747070312,464.4399108886719,-56.637855529785156,462.3518371582031,360.11330753069416,-6.811608791351318,-274.2234882265356,-7.6901092529296875,-56.432979583740234,465.1015930175781,0.0003168126272912381,1.3150044238017606,1.15678851174935,-55.6875038146973,-52.390625,-57.5468769073486,129.903104,0.01187,14.8437509536743,19.0000019073486,27.5468759536743,65.6249970197678,0.0965977758169174,1.044560512,4.12168918958787,290.0,268.5625,270.0,-31.7812519073486,-29.1875009536743,-44.046875,-55.875,-52.5156269073486,-69.1093788146973,1.16261835694738,1.19715548916938,1.36917135949095,-80.15625,-72.0429763793945,469801138_58
Pvalb+,GABAergic,positive,aspiny,L2/L3,-32.416934967041016,457.616455078125,22.210737228393555,456.7980651855469,-47.572383880615234,355.91986083984375,210.46029887869432,-2.7732372283935547,-52.18794087876814,4.122596263885498,-43.58894348144531,424.0876159667969,0.00104205128205114,4.060155791241044,0.19185329926349,-47.0937538146973,-51.4479192097982,-55.9895858764648,173.215264,0.0747200000000001,16.78125,23.0520839691162,27.7708349227905,102.968707680702,0.0304601192474365,2.283348992,5.16657372643037,280.0,185.083333333333,720.0,-28.7812519073486,-32.3125025431315,-38.1979179382324,-48.1875,-54.3645858764648,-72.6406275431315,3.37932106468021,4.10877446032496,2.68013894969583,-83.5937576293945,-72.7120361328125,605889373_67
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-30.264705657958984,195.4264678955078,11.92463207244873,195.60293579101562,-48.98713302612305,161.49264526367188,196.6723329237189,-10.977941513061523,-96.91083736217564,-4.700367450714111,-45.46875,193.81617736816406,0.0006588235294113787,2.0150520738169155,0.0292989421736461,-48.5937538146973,,-51.6328153610229,268.823776,0.00878,23.6250019073486,,26.9843754768372,233.281165361404,0.370840907096863,1.09139328,11.6573153251672,110.0,,280.0,-32.53125,,-41.2656259536743,-48.5937538146973,,-63.2578144073486,2.13231571411621,,2.18556437832251,-87.65625,-62.0555801391602,583836069_40
Glutamatergic,Glutamatergic,positive,spiny,L5,-37.54127502441406,121.45755004882812,41.82429122924805,121.31839752197266,-53.32783126831055,98.99528503417969,334.82084642756826,3.641509532928467,-91.20233375757478,16.55306625366211,-43.49528121948242,119.95046997070312,0.0008501886792454399,3.6685703348234204,0.177671232876712,-45.8437538146973,-47.1458358764648,-51.7000022888184,214.522896,0.0487600000000001,45.5625038146973,48.5520833333333,45.9250015258789,164.062529802322,0.219570100307465,1.727256704,18.3534585100392,70.0,58.625,720.0,-38.0937538146973,-38.6979179382324,-45.3062515258789,-57.2812538146973,-56.4062525431315,-70.5375015258789,4.05999460039471,4.12174537888852,4.0172443246066,-87.0937576293945,-69.3629837036133,504615116_56
Glutamatergic,Glutamatergic,positive,spiny,L6b,-39.368125915527344,272.0299987792969,36.2756233215332,271.239990234375,-51.364376068115234,200.19749450683594,274.55945996328626,-2.106874942779541,-50.15287549638279,19.598125457763672,-45.6506233215332,251.39999389648438,0.0013655999999996381,5.563229877570978,0.130988030417411,-48.6250038146973,-48.3229179382324,-50.6510435740153,159.199344,0.0897400000000002,46.4375,42.8958346048991,39.9583339691162,125.937417149544,0.0376854985952377,1.667093504,13.7193053364636,110.0,103.375,600.0,-41.5625,-42.8958346048991,-45.3072935740153,-54.5000038146973,-54.8333358764648,-70.6145858764648,5.16440903077961,5.12449698434692,4.56194547609025,-84.9375076293945,-70.4971466064453,558076716_60
Glutamatergic,Glutamatergic,positive,spiny,L4,-34.32857131958008,270.57501220703125,32.15178680419922,270.1357116699219,-53.91964340209961,191.08570861816406,323.15350226555773,-0.4491071403026581,-99.42062934700407,15.998214721679688,-43.54999923706055,245.56785583496094,0.0006958571428570386,3.2477070655742124,0.139336926026596,-44.4687538146973,-45.1979192097982,-46.5875022888184,105.98664,0.059385,35.7812538146973,38.6979179382324,43.7000030517578,95.1785519719124,0.0316205210983753,1.063487616,25.2161656931662,130.0,119.583323160807,424.0,-36.6562538146973,-35.8958346048991,-48.5562515258789,-54.2812538146973,-55.6562538146973,-75.0625,3.38631659246252,3.17176404301119,3.85702864452981,-87.0000076293945,-75.0661315917969,476135066_51
Glutamatergic,Glutamatergic,positive,spiny,L4,-40.36820602416992,252.38314819335938,22.419157028198242,251.84239196777344,-57.489810943603516,189.2744598388672,249.89944866714998,-8.219429016113281,-64.42091809978876,6.8430705070495605,-52.525814056396484,239.3396759033203,0.0010465217391302432,3.937140719911094,0.15546875,-51.375,-48.4687538146973,-53.11875,174.659088,0.0430600000000001,33.1875,33.5208358764648,33.1125022888184,214.062571525574,0.0316042676568031,1.0209248,28.1795362452016,90.0,71.2916666666667,800.0,-38.1875,-35.0416692097982,-46.7062538146973,-55.0000038146973,-53.5000012715658,-71.2625045776367,3.94022133203199,3.51112222138815,3.56024067083536,-94.0000076293945,-70.157844543457,502614426_42
Pvalb+,GABAergic,positive,aspiny,L2/L3,-34.61350631713867,519.2940673828125,14.519288063049316,520.1602172851562,-52.26633071899414,517.7814331054688,256.15954453585897,-9.662163734436035,-184.63093437646884,-6.872714996337891,-52.111087799072266,520.1201782226562,0.00044326881720424825,1.386494590546395,0.794242504372189,-54.6562538146973,-55.0208371480306,-59.4875015258789,136.85368,0.0344800000000001,13.9375,16.0416669845581,22.1750003814697,84.6873819828033,0.0045601832680404,1.453630976,8.39470754288424,330.0,283.458333333333,780.0,-32.0312538146973,-31.9479185740153,-44.6062515258789,-54.7500038146973,-55.1145871480306,-73.7500045776367,1.28214906715888,1.29166978429379,1.45211601344623,-82.0312576293945,-72.5855331420898,581020172_68
Pvalb+,GABAergic,positive,aspiny,L5,-35.16367721557617,453.3935546875,16.1224365234375,454.7238464355469,-57.837825775146484,454.5129089355469,320.059187357378,-7.150150299072266,-247.9164664899153,-9.734220504760742,-57.67790985107422,456.2337341308594,0.0003569872701556286,1.289250575832784,1.47236471674603,-60.1562538146973,-57.6145858764648,-62.1125030517578,176.425456,0.0059550000000001,22.0000019073486,16.7083342870076,24.5812511444092,164.687469601631,0.0220953691750765,1.39900672,9.26534750102426,290.0,231.291666666667,312.0,-32.0312538146973,-28.9479185740153,-41.4812507629395,-60.2500038146973,-57.7604192097982,-71.4125045776367,1.26391558451577,1.17593769494179,1.39711739038265,-99.6250076293945,-70.6443405151367,481127932_64
