transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Sst+,GABAergic,positive,aspiny,L5,-43.343753814697266,35.65625,-75.53125,474.160799179185,-8.9375,-278.1051434113,-5.906250476837158,-62.093753814697266,0.000400000000000178,1.704969542680953,565871768_62
Pvalb+,GABAergic,positive,aspiny,L4,-45.28125,24.781251907348633,-73.03125762939453,510.1353510128633,-8.25,-365.92920906744206,-5.875000476837158,-58.250003814697266,0.0002549999999998942,1.3940820748169451,469801138_58
Pvalb+,GABAergic,positive,aspiny,L2/L3,-40.28125,26.687501907348633,-72.9375,331.92140247641333,-8.281250953674316,-119.04115011133155,-3.781250238418579,-50.781253814697266,0.0005999999999999339,2.7882912939432165,605889373_67
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-41.875,26.625001907348633,-63.75000762939453,405.5391020421367,-9.46875,-187.24016305663906,4.84375,-51.968753814697266,0.00043999999999999595,2.1658766763595665,583836069_40
Glutamatergic,Glutamatergic,positive,spiny,L5,-46.34375,46.90625,-70.46875,515.057927058861,-1.15625,-122.50660964625422,-3.875000238418579,-52.09375,0.0006800000000000139,4.204327656655622,504615116_56
Glutamatergic,Glutamatergic,positive,spiny,L6b,-45.3125,39.625,-71.56250762939453,410.53499144252896,-8.187500953674316,-90.22541546960728,18.375,-50.312503814697266,0.0007999999999999119,4.5501036410391364,558076716_60
Glutamatergic,Glutamatergic,positive,spiny,L4,-49.468753814697266,41.437503814697266,-75.78125762939453,565.6345112152869,-2.78125,-147.096366933968,21.34375,-47.78125,0.0005150000000000432,3.845332981399887,476135066_51
Glutamatergic,Glutamatergic,positive,spiny,L4,-44.406253814697266,32.28125,-70.15625762939453,401.9317896221805,-9.6875,-115.62723983506717,-9.500000953674316,-52.15625,0.0006999999999999229,3.476099491741768,502614426_42
Pvalb+,GABAergic,positive,aspiny,L2/L3,-46.75,21.468751907348633,-73.375,408.61778036646945,-16.1875,-275.1311892546563,-7.21875,-60.21875,0.000360000000000138,1.485174332555443,581020172_68
Pvalb+,GABAergic,positive,aspiny,L5,-41.9375,25.593751907348633,-71.03125,489.56794141295387,-6.28125,-357.23017715731487,-5.09375,-62.937503814697266,0.0002849999999998687,1.3704551650947476,481127932_64
Glutamatergic,Glutamatergic,positive,spiny,L4,-40.812503814697266,24.750001907348633,-75.46875762939453,304.95373036749265,-18.90625,-109.05439949859714,-8.71875,-51.781253814697266,0.0007850000000000357,2.7963450513650807,480087928_49
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-41.40625,27.875,-75.9375,361.46174066201485,-5.84375,-116.53206410098491,-5.34375,-58.000003814697266,0.000660000000000105,3.1018221761589806,522257166_47
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-46.75,33.5,-66.21875,584.4734403781647,-3.750000238418579,-319.2109838333385,5.0,-60.093753814697266,0.000300000000000189,1.8309941386080903,327970859_36
Vip+,GABAergic,positive,aspiny,L6b,-44.96875,42.406253814697266,-66.875,403.6959689037966,0.78125,-149.65497623072105,17.281251907348633,-58.343753814697266,0.000700000000000145,2.697511162484995,591517805_46
